,label,area,intensity_mean,intensity_max,intensity_min,base_name
0,1,2055.0,3081.3936739659366,4631.0,1561.0,1116_HS_003
0,1,2191.0,2366.068918302145,3465.0,1229.0,1116_HS_004
0,1,1422.0,2288.2770745428975,3337.0,1210.0,1116_HS_015
1,2,1409.0,2360.2278211497514,3525.0,1213.0,1116_HS_015
0,1,1983.0,2682.453353504791,4042.0,1309.0,1116_HS_012
0,1,2432.0,2382.326480263158,4415.0,1228.0,1116_HS_020
0,1,805.0,1615.9006211180124,2205.0,905.0,1116_HS_011
1,2,1331.0,1748.8835462058603,2541.0,842.0,1116_HS_011
0,1,1503.0,2760.6274118429806,4081.0,1376.0,1116_HS_016
0,1,2892.0,3285.0553250345783,5436.0,1613.0,1116_HS_018
0,3,1977.0,2634.743550834598,4109.0,1309.0,1116_HS_023
0,45,2300.0,2073.4017391304346,4497.0,681.0,1116_HS_024
0,2,1086.0,1926.9742173112338,2762.0,1058.0,1116_HS_009
1,3,1241.0,2477.035455278002,3775.0,1101.0,1116_HS_009
0,2,2863.0,2443.6758644778206,3918.0,1192.0,1116_HS_007
0,6,3037.0,2212.551860388541,3947.0,1078.0,1116_HS_022
0,1,1862.0,3098.3045112781956,4883.0,1568.0,1116_HS_019
0,1,858.0,4876.284382284382,6960.0,2502.0,1116_HS_017
0,1,1899.0,2532.8209583991575,3977.0,1291.0,1116_HS_010
0,1,1260.0,1849.692857142857,2756.0,946.0,1116_HS_001
0,1,1280.0,4211.3828125,6173.0,2197.0,1116_HS_006
0,2,2697.0,2048.913607712273,4055.0,942.0,1116_HS_008
0,1,2691.0,1631.2898550724638,2684.0,836.0,1218_HS_008
0,1,2857.0,1976.4235211760588,3778.0,966.0,1218_HS_006
0,1,1418.0,1998.4146685472497,2915.0,1066.0,1218_HS_001
0,2,1244.0,1654.6792604501609,2473.0,936.0,1218_HS_022
1,3,1235.0,2147.212955465587,3333.0,937.0,1218_HS_022
0,1,2205.0,2291.966439909297,3969.0,1127.0,1218_HS_025
0,1,1174.0,2067.625212947189,3219.0,1030.0,1218_HS_010
0,3,1568.0,2441.1383928571427,3908.0,1318.0,1218_HS_017
0,1,1389.0,1437.7105831533477,3211.0,840.0,1218_HS_019
1,4,2550.0,1671.8749019607842,3012.0,843.0,1218_HS_019
0,1,1050.0,2825.9485714285715,4001.0,1497.0,1218_HS_007
0,1,931.0,2678.0128893662727,3898.0,1425.0,1218_HS_009
0,1,2124.0,1838.5828625235406,3102.0,950.0,1218_HS_018
0,1,1148.0,2082.980836236934,3012.0,1076.0,1218_HS_016
0,1,2007.0,1892.947683109118,3341.0,955.0,1218_HS_011
0,1,1971.0,1758.0654490106544,2622.0,877.0,1218_HS_024
0,1,2173.0,2008.4284399447768,3057.0,1012.0,1218_HS_023
0,1,1022.0,2328.9471624266143,3652.0,1206.0,1218_HS_012
0,1,1878.0,2346.7518636847713,3782.0,1214.0,1218_HS_015
0,1,1424.0,2201.9094101123596,3661.0,1083.0,1218_HS_020
0,1,2559.0,1554.1164517389604,2584.0,796.0,1218_HS_004
0,1,2029.0,2745.9319862000984,4682.0,1435.0,1218_HS_003
0,1,2165.0,1624.9450346420324,2617.0,793.0,1218_HS_021
0,1,1730.0,1837.8710982658959,3200.0,890.0,1218_HS_014
0,1,1740.0,1515.4557471264368,2205.0,763.0,1218_HS_013
0,2,1576.0,1927.8692893401014,3084.0,970.0,1218_HS_002
0,2,2758.0,1208.811457577955,1985.0,608.0,1218_HS_005
0,1,1300.0,2871.456153846154,4073.0,1482.0,1182_nHS_009
0,1,727.0,2568.1361760660247,3461.0,1834.0,1182_nHS_007
1,2,1237.0,4165.330638641875,6167.0,1874.0,1182_nHS_007
0,1,1048.0,4248.605916030534,6099.0,2099.0,1182_nHS_016
0,1,1586.0,2869.0561160151324,4070.0,1525.0,1182_nHS_011
0,1,3046.0,2483.9425476034144,4417.0,1266.0,1182_nHS_018
0,1,988.0,2229.2813765182186,3364.0,997.0,1182_nHS_006
1,2,686.0,1507.7755102040817,2002.0,1008.0,1182_nHS_006
0,1,1436.0,2993.8217270194987,5060.0,1512.0,1182_nHS_001
0,1,1345.0,2511.7055762081786,3899.0,1277.0,1182_nHS_008
0,1,967.0,3058.205791106515,4702.0,1428.0,1182_nHS_019
1,2,1830.0,2483.05737704918,4027.0,1377.0,1182_nHS_019
0,1,1463.0,2833.4613807245387,4303.0,1365.0,1182_nHS_010
0,18,2041.0,634.0029397354239,797.0,409.0,1182_nHS_017
1,78,2367.0,1290.965356991973,2450.0,427.0,1182_nHS_017
0,1,1331.0,2832.8294515401954,4307.0,1390.0,1182_nHS_021
0,1,1395.0,2960.9340501792117,4303.0,1572.0,1182_nHS_014
0,1,971.0,2779.7136972193616,3946.0,1467.0,1182_nHS_013
0,1,1286.0,1870.3903576982893,2635.0,994.0,1182_nHS_002
0,1,1838.0,2293.391730141458,3190.0,1215.0,1182_nHS_005
0,1,1963.0,2938.134488028528,4225.0,1431.0,1182_nHS_012
0,1,2698.0,2291.6267605633802,3467.0,1156.0,1182_nHS_015
0,1,1788.0,2585.8020134228186,3800.0,1352.0,1182_nHS_020
0,1,1809.0,2740.8142620232175,4868.0,1354.0,1182_nHS_004
0,1,1081.0,2846.1609620721556,4186.0,1279.0,1182_nHS_003
1,2,754.0,1680.5159151193634,2158.0,1182.0,1182_nHS_003
0,1,1070.0,2829.4336448598133,4259.0,1439.0,1242_nHS_005
0,1,1822.0,1793.4676180021954,2461.0,980.0,1242_nHS_002
0,1,819.0,2358.860805860806,3482.0,1267.0,1242_nHS_013
0,1,949.0,3492.859852476291,5302.0,1761.0,1242_nHS_014
0,6,1104.0,1136.340579710145,1849.0,616.0,1242_nHS_003
0,1,1267.0,1866.1144435674823,2636.0,1011.0,1242_nHS_004
0,1,1292.0,2652.489164086687,3914.0,1340.0,1242_nHS_020
0,2,1290.0,1806.2488372093023,2696.0,917.0,1242_nHS_015
0,1,928.0,2843.4644396551726,4182.0,1511.0,1242_nHS_012
0,1,1238.0,3839.7423263327946,6265.0,1958.0,1242_nHS_018
0,1,1476.0,2649.5718157181573,4545.0,1309.0,1242_nHS_011
0,1,1541.0,2171.0765736534718,3906.0,1081.0,1242_nHS_016
0,2,1140.0,2475.472807017544,3869.0,1260.0,1242_nHS_007
0,2,856.0,1586.728971962617,2251.0,738.0,1242_nHS_009
1,3,768.0,991.73046875,1353.0,665.0,1242_nHS_009
0,2,1161.0,3067.4418604651164,4577.0,1394.0,1242_nHS_017
1,3,579.0,1942.2487046632125,2573.0,1380.0,1242_nHS_017
0,1,1182.0,1878.846869712352,2939.0,956.0,1242_nHS_010
0,2,1388.0,2670.351585014409,4146.0,1373.0,1242_nHS_019
0,2,1381.0,1489.5930485155684,2321.0,778.0,1242_nHS_008
0,1,1356.0,2266.2935103244836,3745.0,1152.0,1242_nHS_001
0,1,1702.0,2260.34312573443,3170.0,1173.0,1242_nHS_006
